Summary,Legend,Protection,Sale,Place,Price,Seller,MSales,Comments
腾讯齐乐A91 安卓4.0智能手机双卡双待女款800万正品行货 特价,"消费者保障	七天退换",七天退换,"月售51笔	27条评价",广东 深圳货到付款,959.00        运费：0.00           信用卡,皓酷拍,51,27
全国联保 视频泡水 三防对讲手机A83 GPS导航 户外手机 超长待机,"消费者保障	七天退换",七天退换,"月售15笔	75条评价",广东 深圳货到付款,891.10        运费：12.00           折扣,深圳数码电子广场,15,75
电信天翼双模双待安卓智能手机I929 电容屏+WIFI+GPS汉泰 699,"消费者保障	七天退换",七天退换,"月售2笔	1条评价",广东 深圳货到付款,799.00        运费：15.00           信用卡,xmx20,2,1
Lenovo/联想 A520乐Phone安卓智能手机女款4.0寸屏 双卡双待包邮,"消费者保障	七天退换",七天退换,"月售49笔	37条评价",广东 深圳货到付款,780.03        运费：0.00           信用卡,herili1988,49,37
Huawei/华为 T8600  移动3G td 智能手机 OMS2.5,"消费者保障	七天退换",七天退换,"月售2笔	1条评价",广东 深圳货到付款,520.06        运费：20.00           信用卡,yhhyllf,2,1
步步高 i6 青花瓷质感 翻盖音乐手机 原装正品 两原 包邮热卖中,消费者保障,无七天退换,"月售1笔	1条评价",广东 深圳,370.00        运费：0.00,xiaole102356,1,1
Nokia/诺基亚 X2-01 原装正品行货直板全键盘商务手机 后台挂Q,消费者保障,无七天退换,"月售8笔	76条评价",广东 深圳货到付款,430.00        运费：0.01           信用卡,德翔数码,8,76
翻盖手机超薄女款2011女士手机10i520音乐手机后台QQ 心心相印,"消费者保障	七天退换",七天退换,"月售74笔	827条评价",广东 深圳货到付款,170.00        运费：8.00           信用卡,永佳通讯商城,74,827
Samsung/三星S7350C s7350h 丝质滑盖 学生 老人手机 买一送七,"消费者保障	七天退换",七天退换,"月售8笔	15条评价",广东 深圳货到付款,310.00        运费：0.00           信用卡,便宜手机大量有,8,15
Samsung/三星 M8910U 高清1200万像素拍照手机 WIFI 导航送礼包,"消费者保障	七天退换",七天退换,"月售23笔	38条评价",广东 深圳货到付款,750.00        运费：10.00           信用卡,mobiletel59599,23,38
视频砸机 路虎手机 原装台版 直板 三防手机 防摔 防水 超长待机,"消费者保障	七天退换",七天退换,"月售93笔	126条评价",广东 深圳货到付款,338.00        运费：15.00,深圳数码电子广场,93,126
特价Lenovo/联想 S550 滑盖双卡双待 后台QQ 呼吸灯 女款时尚手机,"消费者保障	七天退换	正品保障",七天退换,"月售6笔	9条评价",上海,279.00        运费：8.00           信用卡,旭永数码专营店,6,9
秒杀包邮Samsung/三星 I9000 9000 3G智能手机 安卓系统 8月新机,"消费者保障	七天退换",七天退换,月售6笔,广东 深圳货到付款,1190.00        运费：0.00           信用卡,嘉讯科技园,6,0
特价Lenovo/联想 A68e智能手机电信CDMA新款安卓电容屏正品行货,"消费者保障	七天退换",七天退换,"月售8笔	24条评价",广东 深圳货到付款,459.00        运费：0.00           信用卡,嘟嘟牛1314,8,24
Huawei/华为 C2829 电信天翼 CDMA手机 后台QQ UC浏览器 超长待机,"消费者保障	七天退换",七天退换,"月售10笔	11条评价",广东 深圳,115.20        运费：0.00           折扣,海底逃宝2012,10,11
摩托罗拉 L7 L71 L72原装正品直板手机Motorola/摩托罗拉 WX290,"消费者保障	七天退换",七天退换,"月售3笔	16条评价",上海货到付款,95.00        运费：0.00           信用卡,9腾达通讯9,3,16
国产M1s小米m11超薄安卓半智能4.0大屏双卡非山寨男女款情侣手机,"消费者保障	七天退换",七天退换,"月售6笔	17条评价",广东 深圳货到付款,206.80        运费：10.00           信用卡折扣,林盛锋商城,6,17
Lenovo/联想 S200 可爱时尚五彩翻盖手机 女生最爱  QQ 正品联保,"消费者保障	七天退换",七天退换,"月售4笔	2条评价",广东 深圳货到付款,297.00        运费：8.00           信用卡,迪优美数码,4,2
实拍全新Sony Ericsson/索尼爱立信 J108i 时尚直板3G手机,"消费者保障	七天退换	正品保障",七天退换,"月售30笔	125条评价",上海,398.00        运费：12.00           信用卡,顺平数码专营店,30,125
